id,name,uuid,course_code,course_title,course_no,section,year,semester
69174,COMSE6156_001_2018_3 - TOPICS IN SOFTWARE ENGINEERING: Cloud and Microservice Applications,DO57H1uh7HiQ3fyx9F9Ag9Bxjnsxe42QWO2BmzFO,COMSE6156_001_2018_3 - TOPICS IN SOFTWARE ENGINEERING,TOPICS IN SOFTWARE ENGINEERING: Cloud and Microservice Applications,COMSE6156,001,2018,3
87722,COMSE6156_001_2019_3 - TOPICS IN SOFTWARE ENGINEERING,R1fTDNdQc7Koh3BDCiwX7raLt6gcujOSMr56pEET,COMSE6156_001_2019_3 - TOPICS IN SOFTWARE ENGINEERING,TOPICS IN SOFTWARE ENGINEERING,COMSE6156,001,2019,3
106974,COMSE6156_001_2020_3 - TOPICS IN SOFTWARE ENGINEERING,S0y15MKoxEkXW1zHsb5GQ44ZnVOy4lE2qKro1krE,COMSE6156_001_2020_3 - TOPICS IN SOFTWARE ENGINEERING,TOPICS IN SOFTWARE ENGINEERING,COMSE6156,001,2020,3
136216,COMSE6156_001_2021_3 - TOPICS IN SOFTWARE ENGINEERING,s8sDeKJWlTd4N3OrcLjGwmJHxrm63TODYvoc1Br6,COMSE6156_001_2021_3 - TOPICS IN SOFTWARE ENGINEERING,TOPICS IN SOFTWARE ENGINEERING,COMSE6156,001,2021,3
34758,COMSE6998_006_2017_1 - TOPICS IN COMPUTER SCIENCE,fYjLmtqww7kCS6JSdUfsE8RXJrXw72HFYpnNaFaB,COMSE6998_006_2017_1 - TOPICS IN COMPUTER SCIENCE,TOPICS IN COMPUTER SCIENCE,COMSE6998,006,2017,1
11912,COMSE6998_010_2016_3 - TOPICS IN COMPUTER SCIENCE,Y3XcZ9J82EDh9kkg0kt39sfJqk8CICel87pFpqOg,COMSE6998_010_2016_3,TOPICS IN COMPUTER SCIENCE,COMSE6998,010,2016,3
47421,COMSE6998_014_2017_3 - TOPICS IN COMPUTER SCIENCE,IvQbt4Mdx4C1bRlPEUjDfStnDQo9igKlAQZt6I02,COMSE6998_014_2017_3 - TOPICS IN COMPUTER SCIENCE,TOPICS IN COMPUTER SCIENCE,COMSE6998,014,2017,3
59651,COMSW3999_063_2018_3 - FIELDWORK,EoVhsA5Yr82hIdiIgOnqZKywOAhOsDOoUMuV7mSJ,COMSW3999_063_2018_3 - FIELDWORK,FIELDWORK,COMSW3999,063,2018,3
82004,COMSW3999_063_2019_2 - FIELDWORK,eKwDWLdvVsIgjGPMzNqrnJkGMapKqlemCZDLV9EX,COMSW3999_063_2019_2 - FIELDWORK,FIELDWORK,COMSW3999,063,2019,2
59653,COMSW4111_001_2018_3 - INTRODUCTION TO DATABASES,BcVGotSt8dHZD6QgSvifqLb3fQmCreb4WYoJcCPO,COMSW4111_001_2018_3 - INTRODUCTION TO DATABASES,INTRODUCTION TO DATABASES,COMSW4111,001,2018,3
53309,COMSW4111_002_2018_1 - INTRODUCTION TO DATABASES,hw9PXeLFcEAMHu6IaxPIf9MwrpCqAzqHv38SunnS,COMSW4111_002_2018_1 - INTRODUCTION TO DATABASES,INTRODUCTION TO DATABASES,COMSW4111,002,2018,1
85777,COMSW4111_002_2019_3 - INTRODUCTION TO DATABASES,0kyuSfuJ65RbMVjaCOtdNlpQzghyrJo0McMh4tkR,COMSW4111_002_2019_3 - INTRODUCTION TO DATABASES,INTRODUCTION TO DATABASES,COMSW4111,002,2019,3
95783,COMSW4111_002_2020_1 - INTRODUCTION TO DATABASES,n83hENxhFGRuU86LbKdqUqifKbKTyXt3A8wam2yY,COMSW4111_002_2020_1 - INTRODUCTION TO DATABASES,INTRODUCTION TO DATABASES,COMSW4111,002,2020,1
105630,COMSW4111_002_2020_3 - INTRODUCTION TO DATABASES,QZh79lLtQ68tNP9qG1SM7ygRnf0gGZRrR6jtyywh,COMSW4111_002_2020_3 - INTRODUCTION TO DATABASES,INTRODUCTION TO DATABASES,COMSW4111,002,2020,3
